year,entity_name,entity_id,total_views
2021,Česká_pirátská_strana,2,124932
2021,Česká_strana_sociálně_demokratická,3,102181
2021,ANO_2011,1,97513
2021,Občanská_demokratická_strana,6,93649
2021,KDU-ČSL,4,87009
2021,TOP_09,11,78224
2021,Svoboda_a_přímá_demokracie,10,78097
2021,Starostové_a_nezávislí,8,69355
2021,Komunistická_strana_Čech_a_Moravy,5,67284
2021,Trikolora_Svobodní_Soukromníci,13,54104
2021,Strana_zelených,9,43685
2021,Trikolóra_hnutí_občanů,12,23218
2021,Přísaha_-_občanské_hnutí_Roberta_Šlachty,7,22955
2020,Česká_pirátská_strana,2,71506
2020,ANO_2011,1,70693
2020,Česká_strana_sociálně_demokratická,3,65013
2020,Občanská_demokratická_strana,6,58425
2020,TOP_09,11,51723
2020,KDU-ČSL,4,45843
2020,Komunistická_strana_Čech_a_Moravy,5,44779
2020,Starostové_a_nezávislí,8,41394
2020,Trikolóra_hnutí_občanů,12,38628
2020,Svoboda_a_přímá_demokracie,10,38460
2020,Strana_zelených,9,22198
2019,Trikolóra_hnutí_občanů,12,52089
2019,ANO_2011,1,50736
2019,Česká_pirátská_strana,2,49107
2019,Česká_strana_sociálně_demokratická,3,44074
2019,Občanská_demokratická_strana,6,39306
2019,Komunistická_strana_Čech_a_Moravy,5,32918
2019,TOP_09,11,30610
2019,Svoboda_a_přímá_demokracie,10,28556
2019,Starostové_a_nezávislí,8,19467
2019,Strana_zelených,9,15302
2019,KDU-ČSL,4,10882
2018,Česká_strana_sociálně_demokratická,3,50118
2018,ANO_2011,1,48535
2018,Česká_pirátská_strana,2,46683
2018,Občanská_demokratická_strana,6,37930
2018,Komunistická_strana_Čech_a_Moravy,5,35650
2018,Svoboda_a_přímá_demokracie,10,30366
2018,TOP_09,11,28895
2018,Starostové_a_nezávislí,8,17477
2018,Strana_zelených,9,16325
2018,KDU-ČSL,4,1551
2017,Česká_pirátská_strana,2,90496
2017,ANO_2011,1,85084
2017,Česká_strana_sociálně_demokratická,3,58554
2017,Svoboda_a_přímá_demokracie,10,53028
2017,Občanská_demokratická_strana,6,49573
2017,TOP_09,11,46308
2017,Komunistická_strana_Čech_a_Moravy,5,41044
2017,Strana_zelených,9,30082
2017,Starostové_a_nezávislí,8,27759
2017,KDU-ČSL,4,2973
2016,Česká_strana_sociálně_demokratická,3,42530
2016,ANO_2011,1,39310
2016,Občanská_demokratická_strana,6,30748
2016,Komunistická_strana_Čech_a_Moravy,5,28121
2016,TOP_09,11,25883
2016,Svoboda_a_přímá_demokracie,10,19592
2016,Česká_pirátská_strana,2,17478
2016,Strana_zelených,9,16800
2016,Starostové_a_nezávislí,8,11899
2016,KDU-ČSL,4,2209
2015,Česká_strana_sociálně_demokratická,3,11139
2015,ANO_2011,1,9103
2015,Komunistická_strana_Čech_a_Moravy,5,8009
2015,TOP_09,11,7492
2015,Občanská_demokratická_strana,6,7152
2015,Česká_pirátská_strana,2,4428
2015,Strana_zelených,9,4276
2015,Svoboda_a_přímá_demokracie,10,3512
2015,Starostové_a_nezávislí,8,1683
2015,KDU-ČSL,4,644
